name,email,department
aixe-sur-vienne,a-dumas@mairie-aixesurvienne.fr,87
ambazac,secretariat@mairie-ambazac.fr,87
arnac-la-poste,mairiearnaclaposte2@wanadoo.fr,87
augne,mairie.augne@wanadoo.fr,87
aureil,mairie.aureil@wanadoo.fr,87
azat-le-ris,mairie.azat@wanadoo.fr,87
balledent,mairieballedent@wanadoo.fr,87
beaumont-du-lac,mairie.beaumontdulac@wanadoo.fr,87
bellac,bellac@mairie-bellac.fr,87
berneuil,mairieberneuil@wanadoo.fr,87
bersac-sur-rivalier,mairiebersac@wanadoo.fr,87
bessines-sur-gartempe,commune.de.bessines@wanadoo.fr,87
beynac,beynac.mairie@wanadoo.fr,87
blanzac,mairie.blanzac@gmail.com,87
blond,"",87
boisseuil,boisseuilnet@wanadoo.fr,87
bonnac-la-cote,mairie.bonnac@wanadoo.fr,87
bosmie-l-aiguille,secretariat@mairie-bosmie.fr,87
breuilaufa,mairie.breuilaufa@wanadoo.fr,87
bujaleuf,mairie@bujaleuf.fr,87
burgnac,mairie.burgnac@wanadoo.fr,87
bussiere-boffy,info@webcommune.org,87
bussiere-galant,mairie.bussiere.galant@wanadoo.fr,87
bussiere-poitevine,mairie.bussiere.poitevine@wanadoo.fr,87
chaillac-sur-vienne,chaillacsurvienne.mairie@wanadoo.fr,87
chalus,mairie.chalus87@wanadoo.fr,87
chamboret,mairie.chamboret@wanadoo.fr,87
champagnac-la-riviere,mairiechampagnelariviere@wanadoo.fr,87
champnetery,mairie.champnetery@wanadoo.fr,87
champsac,mairie.champsac@wanadoo.fr,87
chaptelat,chaptelat.limousin@wanadoo.fr,87
chateau-chervix,mairie.chateau-chervix@wanadoo.fr,87
chateauneuf-la-foret,mairie.chateauneuf-la-foret@wanadoo.fr,87
chateauponsac,mairie.chateauponsac@wanadoo.fr,87
cheissoux,mairiecheissoux@wanadoo.fr,87
cheronnac,mairie.cheronnac@wanadoo.fr,87
cieux,mairie.cieux@wanadoo.fr,87
cognac-la-foret,mairie.de.cognac.la.foret@wanadoo.fr,87
compreignac,mairiedecompreignac@wanadoo.fr,87
condat-sur-vienne,contact@condatsurvienne.fr,87
coussac-bonneval,mairie.coussac.bonneval@wanadoo.fr,87
couzeix,mairie@couzeix.fr,87
cromac,mairie.cromac@wanadoo.fr,87
cussac,mairie-cussac@wanadoo.fr,87
darnac,mairiedarnac@wanadoo.fr,87
dinsac,mairie.dinsac@wanadoo.fr,87
dompierre-les-eglises,mairie.dompierreleseglises@wanadoo.fr,87
domps,mairie-domps@orange.fr,87
dournazac,mairie-dournazac@orange.fr,87
droux,mairie.droux@wanadoo.fr,87
eybouleuf,mairie.eybouleuf@wanadoo.fr,87
eyjeaux,mairie.eyjeaux@orange.fr,87
eymoutiers,mairie-eymoutiers@wanadoo.fr,87
feytiat,mairie@feytiat.fr,87
flavignac,mairie-flavignac@wanadoo.fr,87
folles,mairie.folles@wanadoo.fr,87
fromental,mairiefromental@wanadoo.fr,87
gajoubert,mairie.gajoubert@wanadoo.fr,87
glandon,mairie.glandon@wanadoo.fr,87
glanges,mairie-de-glanges@wanadoo.fr,87
gorre,mairie.gorre@wanadoo.fr,87
isle,mairie.isle87@wanadoo.fr,87
jabreilles-les-bordes,mairie.jabreilles@wanadoo.fr,87
janailhac,mairie.janailhac@wanadoo.fr,87
javerdat,mairiedejaverdat@wanadoo.fr,87
jouac,mairiejouac@viveole.com,87
jourgnac,mairie.jourgnac@wanadoo.fr,87
la-bazeuge,mairielabazeuge@wanadoo.fr,87
la-chapelle-montbrandeix,chapelle-montbrandeix@orange.fr,87
la-croisille-sur-briance,mairie.lacroisille@orange.fr,87
la-croix-sur-gartempe,mairie.croix.gartempe@wanadoo.fr,87
ladignac-le-long,mairie.ladignac@wanadoo.fr,87
la-geneytouse,mairie.lageneytouse@wanadoo.fr,87
la-jonchere-saint-maurice,mairiedelajonchere@wanadoo.fr,87
la-meyze,mairie.la.meyze@wanadoo.fr,87
la-porcherie,mairie.laporcherie@wanadoo.fr,87
la-roche-l-abeille,larochelabeille.mairie@wanadoo.fr,87
lauriere,mairie.lauriere@wanadoo.fr,87
lavignac,mairie.lavignac@orange.fr,87
le-buis,mairie.le-buisson@wanadoo.fr,87
le-chalard,mairieduchalard@wanadoo.fr,87
le-chatenet-en-dognon,mairie-du-chatenet-en-dognon@orange.fr,87
le-dorat,mairie.ledorat@wanadoo.fr,87
le-palais-sur-vienne,affairesgenerales@lepalaissurvienne.fr,87
les-billanges,mairiedesbillanges@aliceadsl.fr,87
les-cars,mairie.les-cars87@wanadoo.fr,87
les-grands-chezeaux,mairie-les-grands-chezeaux@wanadoo.fr,87
les-salles-lavauguyon,mairiedessalleslavauguyon@wanadoo.fr,87
le-vigen,mairie-le-vigen@wanadoo.fr,87
limoges,lemaire@ville-limoges.fr,87
linards,mairie.linards@wanadoo.fr,87
lussac-les-eglises,mairie.lussac.les.eglises@wanadoo.fr,87
magnac-bourg,mairie.magnac-bourg@wanadoo.fr,87
magnac-laval,mairie.magnaclaval@wanadoo.fr,87
mailhac-sur-benaize,secretariat.mairiemailhac@wanadoo.fr,87
maisonnais-sur-tardoire,mairie.maisonnais.sur.tardoire@wanadoo.fr,87
marval,mairie-marval@wanadoo.fr,87
masleon,mairiedemasleon@orange.fr,87
meilhac,mairie.meilhac@wanadoo.fr,87
meuzac,mairie.meuzac@wanadoo.fr,87
mezieres-sur-issoire,mezieres-issoire@wanadoo.fr,87
moissannes,mairie-de-moissannes@wanadoo.fr,87
montrol-senard,mairie.montrolsenard@wanadoo.fr,87
mortemart,mairiemortemart@wanadoo.fr,87
nantiat,commune.nantiat@wanadoo.fr,87
nedde,mairie.nedde@wanadoo.fr,87
neuvic-entier,mairie.neuvic-entier@wanadoo.fr,87
nexon,mairie.nexon@wanadoo.fr,87
nieul,mairie.nieul@wanadoo.fr,87
nouic,mairie.nieul@wanadoo.fr,87
oradour-saint-genest,oradour.st.genest@wanadoo.fr,87
oradour-sur-glane,accueil.mairie.osg@wanadoo.fr,87
oradour-sur-vayres,villeoradoursurvayres@wanadoo.fr,87
pageas,communedepageas@wanadoo.fr,87
panazol,mairie@mairie-panazol.fr,87
pensol,mairie.de.pensol@wanadoo.fr,87
peyrat-de-bellac,mairiedepeyratdebellac@wanadoo.fr,87
peyrat-le-chateau,mairie-peyratlechateau87@wanadoo.fr,87
peyrilhac,mairie-de-peyrilhac@wanadoo.fr,87
pierre-buffiere,mairie.pierrebuffiere@wanadoo.fr,87
rancon,mairie.rancon@wanadoo.fr,87
razes,mairie.raze@wanadoo.fr,87
rempnat,mairie.rempnat@wanadoo.fr,87
rilhac-lastours,rilhac-lastours87@orange.fr,87
rilhac-rancon,mairie.rilhac-rancon-87@wanadoo.fr,87
rochechouart,mairie@rochechouart.com,87
roussac,mairie.roussac@wanadoo.fr,87
royeres,mairieroyeres@orange.fr,87
roziers-saint-georges,mairiederoziersstgeorges@wanadoo.fr,87
saillat-sur-vienne,saillat-mairie@wanadoo.fr,87
saint-amand-le-petit,mairie.stamandlepetit@wanadoo.fr,87
saint-amand-magnazeix,mairie.st.amand.magnx@wanadoo.fr,87
saint-auvent,mairie.de.saint-auvent@wanadoo.fr,87
saint-barbant,saint-barbant.commune@wanadoo.fr,87
saint-bazile,"",87
saint-bonnet-briance,st-bonnet-briance.mairie@orange.fr,87
saint-bonnet-de-bellac,mairie.stbonnetdebellac@wanadoo.fr,87
saint-brice-sur-vienne,mairiest.brice@wanadoo.fr,87
saint-cyr,mairie.stcyr@wanadoo.fr,87
saint-denis-des-murs,saintdenisdesmurs@free.fr,87
sainte-anne-saint-priest,mairie.sainte.anne.saint.priest@wanadoo.fr,87
sainte-marie-de-vaux,commune.saintemariedevaux@wanadoo.fr,87
saint-gence,mairie.saintgence@wanadoo.fr,87
saint-genest-sur-roselle,mairiestgenest@wanadoo.fr,87
saint-georges-les-landes,mairies.sgll@wanadoo.fr,87
saint-germain-les-belles,mairiedesaintgermainlesbelles@wanadoo.fr,87
saint-gilles-les-forets,mairie-st-gilles-les-forets@wanadoo.fr,87
saint-hilaire-bonneval,mairiesainthilairebonneval@orange.fr,87
saint-hilaire-la-treille,mairie.saint.hilaire.la.treille@wanadoo.fr,87
saint-hilaire-les-places,mairie-saint.hilaire@wanadoo.fr,87
saint-jean-ligoure,mairiesaintjeanligoure@orange.fr,87
saint-jouvent,mairie.stjouvent@wanadoo.fr,87
saint-julien-le-petit,mairie.saintjulien@free.fr,87
saint-junien,nlavergne@saint-junien.fr,87
saint-junien-les-combes,mairie.junien@orange.fr,87
saint-just-le-martel,mairie.stjustlemartel@wanadoo.fr,87
saint-laurent-les-eglises,mairie-st-laurent-les-eglises@wanadoo.fr,87
saint-laurent-sur-gorre,mairie.stlaurent.gorre@wanadoo.fr,87
saint-leger-la-montagne,commune.saintlegerlamontagne@wanadoo.fr,87
saint-leger-magnazeix,mairiestleger@wanadoo.fr,87
saint-leonard-de-noblat,accueil@ville-saint-leonard.fr,87
saint-martial-sur-isop,mairiestmartials.isop@wanadoo.fr,87
saint-martin-de-jussac,commune.saintmartindejussac@wanadoo.fr,87
saint-martin-le-mault,mairie.smlm@wanadoo.fr,87
saint-martin-le-vieux,mairie.smlv@wanadoo.fr,87
saint-martin-terressus,mairie@st-martin-terressus.fr,87
saint-mathieu,mairie.saint.mathieu@wanadoo.fr,87
saint-maurice-les-brousses,mairie.stmaurice87@free.fr,87
saint-meard,mairie-de-saint-meard@wanadoo.fr,87
saint-ouen-sur-gartempe,mairie-st-ouen-sur-gartempe@wanadoo.fr,87
saint-pardoux,commune.saint.pardoux@orange.fr,87
saint-paul,mairie-stpaul87@wanadoo.fr,87
saint-priest-ligoure,stpriestligoure.mairie@wanadoo.fr,87
saint-priest-sous-aixe,mairie-de-st-priest-sous-aixe@wanadoo.fr,87
saint-priest-taurion,st-priest-taurion@wanadoo.fr,87
saint-sornin-la-marche,st.sornin.marche@wanadoo.fr,87
saint-sornin-leulac,mairie.st-sornin-leulac@wanadoo.fr,87
saint-sulpice-lauriere,mairie-de-stsulpice-lauriere@wanadoo.fr,87
saint-sulpice-les-feuilles,st.sulpice.les.feuilles@wanadoo.fr,87
saint-sylvestre,mairie.stsylv@wanadoo.fr,87
saint-symphorien-sur-couze,commune-st-symphorien@orange.fr,87
saint-victurnien,mairie.stvicturnien@wanadoo.fr,87
saint-vitte-sur-briance,mairiestvittesurbriance@orange.fr,87
saint-yrieix-la-perche,secretariat@saint-yrieix.fr,87
saint-yrieix-sous-aixe,mairie.saint-yrieix-sous-aixe@wanadoo.fr,87
sauviat-sur-vige,mairie.sauviat@wanadoo.fr,87
sereilhac,mairie.sereilhac@wanadoo.fr,87
solignac,mairie-solignac@wanadoo.fr,87
surdoux,mairie.surdoux@orange.fr,87
sussac,mairiesussac@wanadoo.fr,87
tersannes,mairie.tersannes@wanadoo.fr,87
thiat,mairie.thiat@wanadoo.fr,87
thouron,mairie.thouron@wanadoo.fr,87
vaulry,mairie.vaulry@wanadoo.fr,87
vayres,mairie-vayres@wanadoo.fr,87
verneuil-moustiers,mairie.verneuil-moustiers@wanadoo.fr,87
verneuil-sur-vienne,mairie-verneuil-vienne@wanadoo.fr,87
veyrac,mairie.de.veyrac@wanadoo.fr,87
vicq-sur-breuilh,mairie.vicq@wanadoo.fr,87
videix,commune-de-videix@wanadoo.fr,87
villefavard,mairie.villefavard@wanadoo.fr,87
aixe-sur-vienne,a-dumas@mairie-aixesurvienne.fr,87
ambazac,secretariat@mairie-ambazac.fr,87
arnac-la-poste,mairiearnaclaposte2@wanadoo.fr,87
augne,mairie.augne@wanadoo.fr,87
aureil,mairie.aureil@wanadoo.fr,87
azat-le-ris,mairie.azat@wanadoo.fr,87
balledent,mairieballedent@wanadoo.fr,87
beaumont-du-lac,mairie.beaumontdulac@wanadoo.fr,87
bellac,bellac@mairie-bellac.fr,87
berneuil,mairieberneuil@wanadoo.fr,87
bersac-sur-rivalier,mairiebersac@wanadoo.fr,87
bessines-sur-gartempe,commune.de.bessines@wanadoo.fr,87
beynac,beynac.mairie@wanadoo.fr,87
blanzac,mairie.blanzac@gmail.com,87
blond,"",87
boisseuil,boisseuilnet@wanadoo.fr,87
bonnac-la-cote,mairie.bonnac@wanadoo.fr,87
bosmie-l-aiguille,secretariat@mairie-bosmie.fr,87
breuilaufa,mairie.breuilaufa@wanadoo.fr,87
bujaleuf,mairie@bujaleuf.fr,87
burgnac,mairie.burgnac@wanadoo.fr,87
bussiere-boffy,info@webcommune.org,87
bussiere-galant,mairie.bussiere.galant@wanadoo.fr,87
bussiere-poitevine,mairie.bussiere.poitevine@wanadoo.fr,87
chaillac-sur-vienne,chaillacsurvienne.mairie@wanadoo.fr,87
chalus,mairie.chalus87@wanadoo.fr,87
chamboret,mairie.chamboret@wanadoo.fr,87
champagnac-la-riviere,mairiechampagnelariviere@wanadoo.fr,87
champnetery,mairie.champnetery@wanadoo.fr,87
champsac,mairie.champsac@wanadoo.fr,87
chaptelat,chaptelat.limousin@wanadoo.fr,87
chateau-chervix,mairie.chateau-chervix@wanadoo.fr,87
chateauneuf-la-foret,mairie.chateauneuf-la-foret@wanadoo.fr,87
chateauponsac,mairie.chateauponsac@wanadoo.fr,87
cheissoux,mairiecheissoux@wanadoo.fr,87
cheronnac,mairie.cheronnac@wanadoo.fr,87
cieux,mairie.cieux@wanadoo.fr,87
cognac-la-foret,mairie.de.cognac.la.foret@wanadoo.fr,87
compreignac,mairiedecompreignac@wanadoo.fr,87
condat-sur-vienne,contact@condatsurvienne.fr,87
coussac-bonneval,mairie.coussac.bonneval@wanadoo.fr,87
couzeix,mairie@couzeix.fr,87
cromac,mairie.cromac@wanadoo.fr,87
cussac,mairie-cussac@wanadoo.fr,87
darnac,mairiedarnac@wanadoo.fr,87
dinsac,mairie.dinsac@wanadoo.fr,87
dompierre-les-eglises,mairie.dompierreleseglises@wanadoo.fr,87
domps,mairie-domps@orange.fr,87
dournazac,mairie-dournazac@orange.fr,87
droux,mairie.droux@wanadoo.fr,87
eybouleuf,mairie.eybouleuf@wanadoo.fr,87
eyjeaux,mairie.eyjeaux@orange.fr,87
eymoutiers,mairie-eymoutiers@wanadoo.fr,87
feytiat,mairie@feytiat.fr,87
flavignac,mairie-flavignac@wanadoo.fr,87
folles,mairie.folles@wanadoo.fr,87
fromental,mairiefromental@wanadoo.fr,87
gajoubert,mairie.gajoubert@wanadoo.fr,87
glandon,mairie.glandon@wanadoo.fr,87
glanges,mairie-de-glanges@wanadoo.fr,87
gorre,mairie.gorre@wanadoo.fr,87
isle,mairie.isle87@wanadoo.fr,87
jabreilles-les-bordes,mairie.jabreilles@wanadoo.fr,87
janailhac,mairie.janailhac@wanadoo.fr,87
javerdat,mairiedejaverdat@wanadoo.fr,87
jouac,mairiejouac@viveole.com,87
jourgnac,mairie.jourgnac@wanadoo.fr,87
la-bazeuge,mairielabazeuge@wanadoo.fr,87
la-chapelle-montbrandeix,chapelle-montbrandeix@orange.fr,87
la-croisille-sur-briance,mairie.lacroisille@orange.fr,87
la-croix-sur-gartempe,mairie.croix.gartempe@wanadoo.fr,87
ladignac-le-long,mairie.ladignac@wanadoo.fr,87
la-geneytouse,mairie.lageneytouse@wanadoo.fr,87
la-jonchere-saint-maurice,mairiedelajonchere@wanadoo.fr,87
la-meyze,mairie.la.meyze@wanadoo.fr,87
la-porcherie,mairie.laporcherie@wanadoo.fr,87
la-roche-l-abeille,larochelabeille.mairie@wanadoo.fr,87
lauriere,mairie.lauriere@wanadoo.fr,87
lavignac,mairie.lavignac@orange.fr,87
le-buis,mairie.le-buisson@wanadoo.fr,87
le-chalard,mairieduchalard@wanadoo.fr,87
le-chatenet-en-dognon,mairie-du-chatenet-en-dognon@orange.fr,87
le-dorat,mairie.ledorat@wanadoo.fr,87
le-palais-sur-vienne,affairesgenerales@lepalaissurvienne.fr,87
les-billanges,mairiedesbillanges@aliceadsl.fr,87
les-cars,mairie.les-cars87@wanadoo.fr,87
les-grands-chezeaux,mairie-les-grands-chezeaux@wanadoo.fr,87
les-salles-lavauguyon,mairiedessalleslavauguyon@wanadoo.fr,87
le-vigen,mairie-le-vigen@wanadoo.fr,87
limoges,lemaire@ville-limoges.fr,87
linards,mairie.linards@wanadoo.fr,87
lussac-les-eglises,mairie.lussac.les.eglises@wanadoo.fr,87
magnac-bourg,mairie.magnac-bourg@wanadoo.fr,87
magnac-laval,mairie.magnaclaval@wanadoo.fr,87
mailhac-sur-benaize,secretariat.mairiemailhac@wanadoo.fr,87
maisonnais-sur-tardoire,mairie.maisonnais.sur.tardoire@wanadoo.fr,87
marval,mairie-marval@wanadoo.fr,87
masleon,mairiedemasleon@orange.fr,87
meilhac,mairie.meilhac@wanadoo.fr,87
meuzac,mairie.meuzac@wanadoo.fr,87
mezieres-sur-issoire,mezieres-issoire@wanadoo.fr,87
moissannes,mairie-de-moissannes@wanadoo.fr,87
montrol-senard,mairie.montrolsenard@wanadoo.fr,87
mortemart,mairiemortemart@wanadoo.fr,87
nantiat,commune.nantiat@wanadoo.fr,87
nedde,mairie.nedde@wanadoo.fr,87
neuvic-entier,mairie.neuvic-entier@wanadoo.fr,87
nexon,mairie.nexon@wanadoo.fr,87
nieul,mairie.nieul@wanadoo.fr,87
nouic,mairie.nieul@wanadoo.fr,87
oradour-saint-genest,oradour.st.genest@wanadoo.fr,87
oradour-sur-glane,accueil.mairie.osg@wanadoo.fr,87
oradour-sur-vayres,villeoradoursurvayres@wanadoo.fr,87
pageas,communedepageas@wanadoo.fr,87
panazol,mairie@mairie-panazol.fr,87
pensol,mairie.de.pensol@wanadoo.fr,87
peyrat-de-bellac,mairiedepeyratdebellac@wanadoo.fr,87
peyrat-le-chateau,mairie-peyratlechateau87@wanadoo.fr,87
peyrilhac,mairie-de-peyrilhac@wanadoo.fr,87
pierre-buffiere,mairie.pierrebuffiere@wanadoo.fr,87
rancon,mairie.rancon@wanadoo.fr,87
razes,mairie.raze@wanadoo.fr,87
rempnat,mairie.rempnat@wanadoo.fr,87
rilhac-lastours,rilhac-lastours87@orange.fr,87
rilhac-rancon,mairie.rilhac-rancon-87@wanadoo.fr,87
rochechouart,mairie@rochechouart.com,87
roussac,mairie.roussac@wanadoo.fr,87
royeres,mairieroyeres@orange.fr,87
roziers-saint-georges,mairiederoziersstgeorges@wanadoo.fr,87
